username,location,following,followers,totaltweets,tweetcreatedts,hashtags,query,text,retweet,party,targeted
fritsieFOS,,647,271,19698,2020-10-07 18:05:45,"[{'text': 'pvv', 'indices': [189, 193]}]",#PVV,@geertwilderspvv Doe eens wat aan die voortdurende misleidende teksten @NPONieuws nu weer “gestolen kunst” wat volstrekt onbewezen is maar 🇳🇱 dit wil laten denken 🤔 🤮🤮🤮🤮🤮@geertwilderspvv #pvv https://t.co/aDkCaoyXC8,False,PVV,False
gijs19054075,,5762,5392,123425,2020-10-07 18:03:31,"[{'text': 'dtv', 'indices': [135, 139]}, {'text': 'VVD', 'indices': [140, 144]}, {'text': 'PVV', 'indices': [145, 149]}, {'text': 'SGP', 'indices': [150, 154]}, {'text': 'CDA', 'indices': [155, 159]}]",#PVV,"Mooi stuur terug die shit , ik ben er blij mee als gecertificeerd cultuur barbaar, kunnen we er nog wat voor vangen ? Graag in dollars #dtv #VVD #PVV #SGP #CDA https://t.co/sopuYGwxDD",False,PVV,False
paul_wilders,The Netherlands,0,3507,3744,2020-10-07 18:02:54,"[{'text': 'Baudet', 'indices': [32, 39]}, {'text': 'FvD', 'indices': [40, 44]}, {'text': 'harakiri', 'indices': [79, 88]}, {'text': 'PVV', 'indices': [94, 98]}, {'text': 'VVD', 'indices': [105, 109]}, {'text': 'Spoedwet', 'indices': [160, 169]}]",#PVV,Ik maak weinig woorden vuil aan #Baudet #FvD . Bezig aan doelbewuste politieke #harakiri . De #PVV en de #VVD zullen er per saldo wel bij varen schat ik zo in. #Spoedwet,False,PVV,False
annamkr_,,439,203,1072,2020-10-07 17:59:29,"[{'text': 'Armeense', 'indices': [101, 110]}]",#PVV,"Vandaag kreeg ik de Armeense kruissteen/chatsjkar van de heer Gelici, Vz van de #Armeense Kerk in Almelo. Trots om #Armenië te steunen! Today I got the Khackar/խաչքար from mr. Gelici, Chairman of the #Armenian Church in Hengelo. Proud to support #Armenia! #Wilders #PVV https://t.co/XpbMduTXtD",True,PVV,False
SailorJoon2003,,405,413,7045,2020-10-07 17:59:13,"[{'text': 'Armeense', 'indices': [101, 110]}]",#PVV,"Vandaag kreeg ik de Armeense kruissteen/chatsjkar van de heer Gelici, Vz van de #Armeense Kerk in Almelo. Trots om #Armenië te steunen! Today I got the Khackar/խաչքար from mr. Gelici, Chairman of the #Armenian Church in Hengelo. Proud to support #Armenia! #Wilders #PVV https://t.co/XpbMduTXtD",True,PVV,False
gijs19054075,,5762,5392,123425,2020-10-07 17:57:59,"[{'text': 'pvv', 'indices': [85, 89]}, {'text': 'VVD', 'indices': [90, 94]}, {'text': 'CDA', 'indices': [95, 99]}, {'text': 'FVD', 'indices': [100, 104]}]",#PVV,"Ben geen russische trol , versta er geen klote van , maar vindt een reet goed nummer #pvv #VVD #CDA #FVD https://t.co/AtVmOQWCO4",False,PVV,False
Sjarina_x,,81,9,1041,2020-10-07 17:57:22,"[{'text': 'baudet', 'indices': [126, 133]}]",#PVV,"Jij en ik weten heus wel dat als Kuzu of Azarkan dit had gedaan met groepje Marokkanen/Turken,dan je juist #baudet en #wilders schuimbekkend met krachttermen gehoord en de #pvv #fvd aanhang.. zoals 'lak aan wet/regels' etc.. En nu? **krekels.. #hypocrieten #wegkijkers https://t.co/GswOUHI4xo",True,PVV,False
OprechtN,,408,453,5693,2020-10-07 17:56:35,"[{'text': 'PVV', 'indices': [31, 35]}]",#PVV,Daar om PVV .📢#PVV https://t.co/vw8W7DwgXo,True,PVV,False
Ronnie01964,Ergens / Somewhere,467,365,38952,2020-10-07 17:56:01,"[{'text': 'PVV', 'indices': [205, 209]}, {'text': 'FvD', 'indices': [213, 217]}]",#PVV,"@MsEVE80 @JACKmetWODAN @geertwilderspvv @FleurAgemaPVV @WybrenvanHaga @thierrybaudet Lul niet, als D66 door iedereen uitgesloten zou worden is bij jullie een hard gelach. Denk eerst maar eens na waarom de #PVV en #FvD in jullie ogen uitgesloten worden!!!",False,PVV,False
PolitwoopsNL,,316,1390,39190,2020-10-07 17:55:53,"[{'text': 'PVV', 'indices': [107, 111]}, {'text': 'Wilders', 'indices': [112, 120]}]",#PVV,DT Geert Wilders: RT Geert Wilders: Als je je kiezers goed wil vertegenwoordigen moet je er altijd zijn! #PVV #Wilders https://t.co/9gUdHxeReU https://t.co/PlPWErI9eJ,False,PVV,False
WimVteO,,281,256,29274,2020-10-07 17:55:49,"[{'text': 'Armeense', 'indices': [101, 110]}]",#PVV,"Vandaag kreeg ik de Armeense kruissteen/chatsjkar van de heer Gelici, Vz van de #Armeense Kerk in Almelo. Trots om #Armenië te steunen! Today I got the Khackar/խաչքար from mr. Gelici, Chairman of the #Armenian Church in Hengelo. Proud to support #Armenia! #Wilders #PVV https://t.co/XpbMduTXtD",True,PVV,False
JohnRiddering,"Hengelo, Nederland",101,1124,65806,2020-10-07 17:54:01,"[{'text': 'PVV', 'indices': [19, 23]}]",#PVV,"De #PVV maakt zich grote zorgen over de onacceptabele en steeds verder oplopende woningnood en stelt schriftelijke vragen. Gemiddelde wachttijd opgelopen tot 68 maanden, onacceptabel! Meer betaalbaar bouwen en stoppen met opvang + voorrang statushouders. https://t.co/tEw66epMkX",True,PVV,False
VerkerkSok,,264,707,175914,2020-10-07 17:53:54,"[{'text': 'Armeense', 'indices': [101, 110]}]",#PVV,"Vandaag kreeg ik de Armeense kruissteen/chatsjkar van de heer Gelici, Vz van de #Armeense Kerk in Almelo. Trots om #Armenië te steunen! Today I got the Khackar/խաչքար from mr. Gelici, Chairman of the #Armenian Church in Hengelo. Proud to support #Armenia! #Wilders #PVV https://t.co/XpbMduTXtD",True,PVV,False
arthur83922116,,36,18,1257,2020-10-07 17:53:47,"[{'text': 'Armeense', 'indices': [101, 110]}]",#PVV,"Vandaag kreeg ik de Armeense kruissteen/chatsjkar van de heer Gelici, Vz van de #Armeense Kerk in Almelo. Trots om #Armenië te steunen! Today I got the Khackar/խաչքար from mr. Gelici, Chairman of the #Armenian Church in Hengelo. Proud to support #Armenia! #Wilders #PVV https://t.co/XpbMduTXtD",True,PVV,False
dezalnietemin,Nederland,2988,2140,26154,2020-10-07 17:51:38,"[{'text': 'corona', 'indices': [126, 133]}, {'text': 'zorg', 'indices': [134, 139]}]",#PVV,PVV-motie Wilders om de reguliere zorg NIET af te schalen door Corona-pandemie is vanmiddag aangenomen!#corona #zorg #Covid_19 #PVV #Wilders https://t.co/xE64ndGygp,True,PVV,False
QuiaOpportet,Koninkrijk der Nederlanden,691,383,2420,2020-10-07 17:51:28,"[{'text': 'PVV', 'indices': [11, 15]}]",#PVV,"@depeiling #PVV natuurlijk, dat weet iedereen. 💪🇳🇱",False,PVV,False
dezalnietemin,Nederland,2988,2140,26154,2020-10-07 17:51:06,"[{'text': 'PVV', 'indices': [92, 96]}, {'text': 'Wilders', 'indices': [97, 105]}]",#PVV,Als je je kiezers goed wil vertegenwoordigen moet je er altijd zijn! #PVV #Wilders https://t.co/oq75RgM7zh,True,PVV,False
aaaioga,Россия,75,8,470,2020-10-07 17:50:20,"[{'text': 'Armeense', 'indices': [101, 110]}]",#PVV,"Vandaag kreeg ik de Armeense kruissteen/chatsjkar van de heer Gelici, Vz van de #Armeense Kerk in Almelo. Trots om #Armenië te steunen! Today I got the Khackar/խաչքար from mr. Gelici, Chairman of the #Armenian Church in Hengelo. Proud to support #Armenia! #Wilders #PVV https://t.co/XpbMduTXtD",True,PVV,False
KarlMar70175597,,429,151,3845,2020-10-07 17:48:41,"[{'text': 'pvv', 'indices': [36, 40]}, {'text': 'fvd', 'indices': [44, 48]}]",#PVV,"De zusterpartij van #pvv en #fvd in Griekenland, Χρυση Αυγη, is eindelijk verboden door de rechter en 70 kopstukken zitten in de gevangenis. Zou mooi zijn als dat ook met de fascistische partijtjes in NL zou gebeuren #nosjournaal",True,PVV,False
MsEVE80,Nederland,352,127,1918,2020-10-07 17:46:36,"[{'text': 'PVV', 'indices': [123, 127]}]",#PVV,@JACKmetWODAN Roep eerst maar eens om een wet die voorkomt dat partijen andere partijen mogen uitsluiten van samenwerking! #PVV @geertwilderspvv @FleurAgemaPVV @WybrenvanHaga @thierrybaudet,False,PVV,False
Pieter12271932,,16,0,49,2020-10-07 17:44:51,"[{'text': 'corona', 'indices': [126, 133]}, {'text': 'zorg', 'indices': [134, 139]}]",#PVV,PVV-motie Wilders om de reguliere zorg NIET af te schalen door Corona-pandemie is vanmiddag aangenomen!#corona #zorg #Covid_19 #PVV #Wilders https://t.co/xE64ndGygp,True,PVV,False
AnnaMag80,,40,18,338,2020-10-07 17:43:34,"[{'text': 'Armeense', 'indices': [101, 110]}]",#PVV,"Vandaag kreeg ik de Armeense kruissteen/chatsjkar van de heer Gelici, Vz van de #Armeense Kerk in Almelo. Trots om #Armenië te steunen! Today I got the Khackar/խաչքար from mr. Gelici, Chairman of the #Armenian Church in Hengelo. Proud to support #Armenia! #Wilders #PVV https://t.co/XpbMduTXtD",True,PVV,False
gklein_klein,,860,1017,90091,2020-10-07 17:41:19,"[{'text': 'Armeense', 'indices': [101, 110]}]",#PVV,"Vandaag kreeg ik de Armeense kruissteen/chatsjkar van de heer Gelici, Vz van de #Armeense Kerk in Almelo. Trots om #Armenië te steunen! Today I got the Khackar/խաչքար from mr. Gelici, Chairman of the #Armenian Church in Hengelo. Proud to support #Armenia! #Wilders #PVV https://t.co/XpbMduTXtD",True,PVV,False
AWJAvanHattem,Noord-Brabant,2975,2899,22957,2020-10-07 17:39:39,"[{'text': 'Armeense', 'indices': [101, 110]}]",#PVV,"Vandaag kreeg ik de Armeense kruissteen/chatsjkar van de heer Gelici, Vz van de #Armeense Kerk in Almelo. Trots om #Armenië te steunen! Today I got the Khackar/խաչքար from mr. Gelici, Chairman of the #Armenian Church in Hengelo. Proud to support #Armenia! #Wilders #PVV https://t.co/XpbMduTXtD",True,PVV,False
ArtakManoukian,,58,14,41,2020-10-07 17:39:11,"[{'text': 'Armeense', 'indices': [101, 110]}]",#PVV,"Vandaag kreeg ik de Armeense kruissteen/chatsjkar van de heer Gelici, Vz van de #Armeense Kerk in Almelo. Trots om #Armenië te steunen! Today I got the Khackar/խաչքար from mr. Gelici, Chairman of the #Armenian Church in Hengelo. Proud to support #Armenia! #Wilders #PVV https://t.co/XpbMduTXtD",True,PVV,False
toraji40,,83,79,8199,2020-10-07 17:38:05,"[{'text': 'PVV', 'indices': [92, 96]}, {'text': 'Wilders', 'indices': [97, 105]}]",#PVV,Als je je kiezers goed wil vertegenwoordigen moet je er altijd zijn! #PVV #Wilders https://t.co/oq75RgM7zh,True,PVV,False
EviletteH,,822,707,47084,2020-10-07 17:33:53,"[{'text': 'PVV', 'indices': [21, 25]}]",#PVV,#PVV @GidiMarkuszower: Voor de puinhopen van Rutte moet het kabinet Rutte betalen en niet de burgers van Nederland. Er is geen scenario denkbaar waarin de PVV akkoord kan gaan met dit disproportionele wetsvoorstel! #coronawet https://t.co/lcBsCx7pS1,True,PVV,False
woutschaap,,734,597,20901,2020-10-07 17:30:28,"[{'text': 'PVV', 'indices': [76, 80]}]",#PVV,"@geertwilderspvv ""1 voor allen en allen voor 1""Das duidelijk......Stem #PVV !!! https://t.co/4E5MorbKc0",False,PVV,False
RoelZuuk,,68,101,14047,2020-10-07 17:30:04,"[{'text': 'Armeense', 'indices': [101, 110]}]",#PVV,"Vandaag kreeg ik de Armeense kruissteen/chatsjkar van de heer Gelici, Vz van de #Armeense Kerk in Almelo. Trots om #Armenië te steunen! Today I got the Khackar/խաչքար from mr. Gelici, Chairman of the #Armenian Church in Hengelo. Proud to support #Armenia! #Wilders #PVV https://t.co/XpbMduTXtD",True,PVV,False
ahtlam,"Wassenaar, Nederland",3394,1784,335551,2020-10-07 17:28:35,[],#PVV,Heeft ⁦@TimmermansEU⁩ ook steroïds gekregen? De man leeft op een andere planeet. Waar halen Europeanen dat geld vandaan? Stem #PVV of #FvD in 2021! De enige manier om van deze imbecielen af te komen. #Nexit https://t.co/UuFYjFMRmO,True,PVV,False
1RPeter,Netherlands,2170,1393,12162,2020-10-07 17:28:10,"[{'text': 'Armeense', 'indices': [101, 110]}]",#PVV,"Vandaag kreeg ik de Armeense kruissteen/chatsjkar van de heer Gelici, Vz van de #Armeense Kerk in Almelo. Trots om #Armenië te steunen! Today I got the Khackar/խաչքար from mr. Gelici, Chairman of the #Armenian Church in Hengelo. Proud to support #Armenia! #Wilders #PVV https://t.co/XpbMduTXtD",True,PVV,False
woutschaap,,734,597,20901,2020-10-07 17:28:07,"[{'text': 'pvv2021', 'indices': [84, 92]}, {'text': 'wilders2021', 'indices': [93, 105]}, {'text': 'pvv', 'indices': [106, 110]}, {'text': 'GeertWilders', 'indices': [111, 124]}, {'text': 'stempvv', 'indices': [125, 133]}]",#PVV,Stem 17 maart op @geertwilderspvv want dan is Nederland weer van ons! #pvv2021 #wilders2021 #pvv #GeertWilders #stempvv17 maart is Nederland weer van ons. 👊💪 https://t.co/9D3PZxprpf,True,PVV,False
Lifesty44037655,,13,5,974,2020-10-07 17:27:49,"[{'text': 'Armeense', 'indices': [101, 110]}]",#PVV,"Vandaag kreeg ik de Armeense kruissteen/chatsjkar van de heer Gelici, Vz van de #Armeense Kerk in Almelo. Trots om #Armenië te steunen! Today I got the Khackar/խաչքար from mr. Gelici, Chairman of the #Armenian Church in Hengelo. Proud to support #Armenia! #Wilders #PVV https://t.co/XpbMduTXtD",True,PVV,False
BKoppels,"Den Haag, Nederland",5000,1365,6466,2020-10-07 17:26:39,"[{'text': 'Marokkanen', 'indices': [47, 58]}]",#PVV,"Als je aan de ene kant zegt: #Marokkanen zijn oververtegenwoordigd in verkeerde lijstjes, en vervolgens zeg je dat er géén #Marokkanenprobleem is, dan spoor je echt niet.#MinPres  #VVD  #PVV  #PolitiekeCorrectheid",True,PVV,False
DeleteRacism,,71,29,7061,2020-10-07 17:26:29,"[{'text': 'Baudet', 'indices': [0, 7]}, {'text': 'FvD', 'indices': [8, 12]}, {'text': 'rassenwaan', 'indices': [13, 24]}, {'text': 'omvolkingswaan', 'indices': [25, 40]}, {'text': 'PVV', 'indices': [41, 45]}, {'text': 'tweedekamer', 'indices': [47, 59]}, {'text': 'racisme', 'indices': [60, 68]}, {'text': 'fakenieuws', 'indices': [69, 80]}, {'text': 'dominantBlankNed', 'indices': [81, 98]}]",#PVV,"#Baudet #FvD #rassenwaan #omvolkingswaan #PVV #tweedekamer #racisme #fakenieuws #dominantBlankNed  Wacht es effe, Kabouter BAUDET i/d LEGE IIe Kamer op zoek naar bondgenoten, om meerderheid te vergaren voor zn BLANK NEDERLAND-Plan ! KARTEL-LEDEN PAAIEN !  STOP EXTREMISTEN !",False,PVV,False
