username,location,following,followers,totaltweets,tweetcreatedts,hashtags,query,text,retweet,party,targeted
PetervanAkker,,1653,683,23299,2020-10-06 13:01:42,[],@keesvdstaaij,De ontmoeting met God kan overal plaatsvinden toch? Waarom moet dat tijdens een pandemie per se in een gebouw met 600 anderen? @keesvdstaaij https://t.co/K7FYUNUTHl,True,SGP,True
TeunvanGelder14,"District Arnhem, Reinwich GLD.",4176,2137,69146,2020-10-06 13:00:45,[],@keesvdstaaij,Kan iemand @keesvdstaaij eens uitleggen dat in de tijd van de pest mensen ook bij elkaar kropen in de kerk om Gods genade af te smeken en zo júist bijdroegen aan verspreiding van de pest #op1,True,SGP,True
studiorobbie,"Groningen, Nederland",757,2971,11518,2020-10-06 13:00:23,[],@keesvdstaaij,"@tonfvandijk @keesvdstaaij Mijn tante Mien ging nooit naar de kerk. 'Jongen, ik hoef niet naar die koude kerk om te geloven. Dat kan ook prima thuis met een kop koffie en een sigaretje'.",False,SGP,True
Schizomedal,"Overijssel, Nederland",937,158,5731,2020-10-06 12:56:50,"[{'text': 'Monotheïsme', 'indices': [0, 12]}, {'text': 'myman', 'indices': [250, 256]}]",@keesvdstaaij,"#Monotheïsme duldt liever geen afgoden.Maar als ik wijn drink bij Willemientje na de kerkdienst, offer ik dan geen christenzegen aan Denise, de Godin van de wijn?Jezus maakte wijn uit water en bloed uit wijn. Wat maakt Hij van bloed?@keesvdstaaij #myman@gertjansegers@JobaCDA",False,SGP,True
sjaanzout,,308,227,4545,2020-10-06 12:56:03,[],@keesvdstaaij,https://t.co/sEYV4z4i92 Stop Hugo de jonge met dit plan. stop de spoedwet nu het nog kan. Als je voor de democratie bent dan doe je dat. Laat de bevolking net stikken. @gertjansegers @jesseklaver @thierrybaudet @geertwilderspvv @keesvdstaaij  LUID DE NOODKLOK,False,SGP,True
banditjan3,,68,9,70,2020-10-06 12:53:29,[],@keesvdstaaij,@gertjansegers @keesvdstaaij Misschien kunt u mijn antwoord op deze tweet ook eens doorlezen. Hopelijk is er vrijdag een andere uitkomst dan Maandag.,False,SGP,True
g_janv,,163,95,3485,2020-10-06 12:53:28,[],@keesvdstaaij,"@WaltervanDijk5 @martijnrosdorff @op1npo @keesvdstaaij Trouwens er sterven in Nederland jaarlijks zo’n 150.000. Dus dát zal het probleem niet zijn, mocht dit onzinnige idee ooit uitkomen.",False,SGP,True
KarlMar70175597,,429,151,3845,2020-10-06 12:52:21,[],@keesvdstaaij,@KarlMar70175597 @op1npo @keesvdstaaij Of niet bidden en gewoon constructief inzetten op daden en barmhartigheid,True,SGP,True
MarjoVrij,,4585,3771,11684,2020-10-06 12:52:12,[],@keesvdstaaij,"@baarstweet @LodewijkA @MarijnissenL @keesvdstaaij Het lijkt op een vooropgezet plan, nou ja lijkt?",False,SGP,True
g_janv,,163,95,3485,2020-10-06 12:51:33,[],@keesvdstaaij,"@WaltervanDijk5 @martijnrosdorff @op1npo @keesvdstaaij 55k doden aan Covid-19 binnen 1 jaar kan met een bevolking van 43 miljoen inwoners, als ze 100% besmet raken, met een CFR van 0,13% (vlgs de WHO). Dit is nog nooit vertoond met geen enkel virus, ook niet de Spaanse griep om er maar ‘s één te noemen.",False,SGP,True
Gerwinvdwelle,,142,63,1379,2020-10-06 12:48:29,[],@keesvdstaaij,@jitskekramer @RGeerligs @keesvdstaaij Dit geld ook voor verenigingswezen en andere instellingen waar (bewezen) weinig tot geen besmettingen worden opgelopen. Maatwerk leveren bij goed gedrag. Dit mis ik nu in een overhaasde cabinetsreactie... 2/2,False,SGP,True
GoatRebel,,876,488,26062,2020-10-06 12:47:37,[],@keesvdstaaij,Maar laten we vooral een algehele maskerplicht invoeren. Wat kan er misgaan.@WybrenvanHaga @thierrybaudet @geertwilderspvv @HenkKrol @PieterOmtzigt @MarijnissenL @keesvdstaaij @geenstijl @teunvoeten https://t.co/sBJJnCvMTi https://t.co/MVMiw0p9Kw,False,SGP,True
rick_leijs,"Middelburg, the Netherlands",632,207,4245,2020-10-06 12:46:50,[],@keesvdstaaij,@tonfvandijk @keesvdstaaij Omdat velen van ons het heel prettig vinden om dat toch in een kerk met een voorganger te doen en graag op een wat kleinere schaal dan 600.Mijn geest vaart er wel bij.,False,SGP,True
arkesteijn_cok,"Delft, ",322,32,2944,2020-10-06 12:46:12,[],@keesvdstaaij,"@op1npo @keesvdstaaij Een goede gezondheid gaat voor alles, zelfs voor de Heer, toch?",False,SGP,True
pdbruijn,Holland,886,340,19468,2020-10-06 12:45:22,[],@keesvdstaaij,"@erikheijden @fransweisglas @keesvdstaaij @SGPnieuws Wat ik tegenwoordig mis: Samen maken we er het beste van. Het is teveel ikke, ikke &amp; ikke!",False,SGP,True
Cabrioot,N 53° 10' 0'' / E 5° 39' 0'',146,94,598,2020-10-06 12:45:20,[],@keesvdstaaij,"@erwinsijtema @op1npo @keesvdstaaij Moet je dat alleen nog even als een officieel geloof registreren, anders kun je geen aanspraak maken op dat deel van de grondwet.",False,SGP,True
kentuckytukker,,101,530,11706,2020-10-06 12:44:17,[],@keesvdstaaij,@fransweisglas @keesvdstaaij @SGPnieuws Dat laatste vindt hijzelf nou precies wél.,False,SGP,True
