username,location,following,followers,totaltweets,tweetcreatedts,hashtags,query,text,retweet,party,targeted
patricksavalle,Clown world,480,3707,61093,2020-10-07 19:28:55,[],@hugodejonge,"@FlavioPasquino @mauricedehond @MinPres @op1npo @hugodejonge @rudybouma @patricksavalle @annstrikje Ah, inmiddels bij jou ook zo ver? Maurice de Hond kreeg die van hem weer unlocked, @patricksavalle niet.Ze zijn sowieso weer bezig want Lange Frans is ook van Insta en Twitter afgegooid. These are truly dark times.",True,CDA,True
Marsje9,,283,112,4328,2020-10-07 19:28:19,[],@hugodejonge,@CrouchingHidden @hugodejonge @jankluytmans @AmphiaZKHuis Hij is onderwijs assistent.,False,CDA,True
dsm_mama,"Nijmegen, Nederland",384,261,3949,2020-10-07 19:28:15,[],@hugodejonge,@RTLnieuws Deze overheid moet zich kapot schamen. @MinPres @hugodejonge,False,CDA,True
80Hoog,,510,365,2749,2020-10-07 19:28:15,"[{'text': 'WHO', 'indices': [46, 50]}]",@hugodejonge,"De aap komt uit de mouw!De #WHO heeft het mortaliteitscijfer bijgesteld naar.... 0,13Vergelijkbaar met een griep dusJullie vallen compleet door de mand! @MinPres @Jinek_RTL @hugodejonge @NOS @ferdgrapperhaus @telegraaf@NUnl#mondkappennou @jackvangelder @dannydemunktwit https://t.co/FTSYKo1DIG",True,CDA,True
WheelieNick,,1325,1172,33808,2020-10-07 19:27:32,[],@hugodejonge,"@hugodejonge @jankluytmans @AmphiaZKHuis Idee: als deze testen niet zo diep in de mond en neus moeten, reserveer er dan een aantal voor mensen die vanwege trauma daar niet goed tegen kunnen. Ikzelf heb heel veel test paniekaanvallen omdat ik weet dat qua trauma zo diep een ramp wordt",False,CDA,True
CeesdeBoer7,,461,177,13523,2020-10-07 19:26:56,[],@hugodejonge,"Kom maar op @nrc dan nu ook @robjetten, @MinPres Rutte en @hugodejonge afbranden! https://t.co/Kse1CDr2zM",True,CDA,True
SySyChapman,Nederland,368,360,22768,2020-10-07 19:26:52,[],@hugodejonge,@hugodejonge @MinPres MAATREGELEN! NU!,False,CDA,True
Cristien1,Nederland,1141,1552,58661,2020-10-07 19:26:42,[],@hugodejonge,@dijkhoff En wat weet jij er van? @dijkhoff ? Arts geworden?@net als die dwaze bij het @RIVM of de schoolmeester @hugodejonge,False,CDA,True
abuela225,,668,382,31252,2020-10-07 19:26:25,"[{'text': 'Netherlands', 'indices': [43, 55]}]",@hugodejonge,"Ja, @MinPres @hugodejonge #Netherlands is trending in het buitenland.Maar dan (niet) ""POSITIEF"".After months of confidence, #Netherlands wakes up to #Covid surge https://t.co/FS3vW9Cxzj",True,CDA,True
blijegroninger,,58,7,28,2020-10-07 19:26:23,"[{'text': 'coronamaatregelen', 'indices': [63, 81]}, {'text': 'staphorst', 'indices': [82, 92]}]",@hugodejonge,Tsjonge.. dat lijkt wel meten met 2 maten? #coronamaatregelen #staphorst @MinPres @hugodejonge https://t.co/t6YiQv48VD,True,CDA,True
rjmponsen,"Limburg, Nederland",1975,1994,60910,2020-10-07 19:25:50,[],@hugodejonge,"@hugodejonge @jankluytmans @AmphiaZKHuis Kopen, kopen, kopen!",False,CDA,True
CraZyWeZZ,,1,0,393,2020-10-07 19:25:23,[],@hugodejonge,@Tovenaarsberg @WybrenvanHaga @VVD @MinPres @hugodejonge Misschien even opzoeken wat dictatuur betekend?,False,CDA,True
AlbertRaaphors1,,247,121,3387,2020-10-07 19:25:15,[],@hugodejonge,"@LiewesJaap @FlavioPasquino @MarionKoopmans @Tisjeboyjay1 @rivm @hugodejonge @MinPres Ze zit dacht ik meer in de WHO (!) en de  ontwikkeling v d PCR testen, waaraan ze heeft meegewerkt in Duitsland, samen met Drosten. Tegen  hem wordt al een rechtszaak aangespannen ivm die frauduleuze PCR test. https://t.co/1smrHzmgOY",False,CDA,True
Mil_No_Go,Nederland,1024,305,9084,2020-10-07 19:24:44,[],@hugodejonge,"@hugodejonge @jankluytmans @AmphiaZKHuis Volgende stap, inzetten in heel nederland voor iedereen! (Met nog altijd de voorrang risico beroepen!)",False,CDA,True
Marcoj40480311,Oldenzaal,7,4,240,2020-10-07 19:24:37,[],@hugodejonge,"@hugodejonge @jankluytmans @AmphiaZKHuis Vanavond stond er op tafel : zalm ,frisse salade en gebakken aardappeltjes en als toetje ""slagroomijs met gesmolten chocola""",False,CDA,True
Verward_Boosman,"Stad(53°14'09.1""N,6°34'36.8""O)",586,70,815,2020-10-07 19:24:29,[],@hugodejonge,"@art_andromeda @gpierick @mariannezw @hugodejonge Ik denk dat ook daar (net als in de rest van de kliniek en IC's) het gebrek aan personeel weer de beperkende factor is. (maar ik heb er ook niet voor doorgeleerd, ik ben maar een simpele medische biotechnoloog)",False,CDA,True
TheCarloza,"Amsterdam, Nederland",27,46,3267,2020-10-07 19:24:24,[],@hugodejonge,"@HenkPoley @nebregtheGKL @jsblokland @MinPres @hugodejonge Dank. Ik zie staan dat ze schatten dat 44-66% geïnfecteerd is geweest, maar dat is vgsm niet met antistoffen-onderzoek (seroprevalentie) gedaan. Die studies van James Todaro wijzen er juist op dat 10-20% maar antistoffen nodig heeft en de rest (~50%) vanuit T-cell immunity gaat.",False,CDA,True
Corinescolors,Zaanstad,403,336,8447,2020-10-07 19:24:18,[],@hugodejonge,@hugodejonge @jankluytmans @AmphiaZKHuis Eindelijk nog een beetje goed nieuws!,False,CDA,True
aartjane,Worldwide,1179,805,11424,2020-10-07 19:24:12,"[{'text': 'Corona', 'indices': [11, 18]}, {'text': 'Corona', 'indices': [60, 67]}, {'text': 'NEDMEX', 'indices': [69, 76]}]",@hugodejonge,De kans om #Corona uit het veld te sturen! Rooie kaart voor #Corona  #NEDMEX @hugodejonge,False,CDA,True
p_aneia,oudenbosch,19,7,1033,2020-10-07 19:23:53,[],@hugodejonge,"@partij_toekomst @HenkKrol @hugodejonge Maar op het nog duidelijker te maken, kan het ook gewoon in het Nederlands, we willen toch graag dat iedereen die hier woont fatsoenlijk inburgert. Waarom dan in het Engels, dat is onze taal niet, toch.",False,CDA,True
SandersRia,,913,955,55201,2020-10-07 19:23:32,[],@hugodejonge,"@hugodejonge @jankluytmans @AmphiaZKHuis Gezien,  klinkt goed.",False,CDA,True
Petercito321,"Rotterdam, Nederland",99,168,769,2020-10-07 19:23:18,[],@hugodejonge,"@Bloempje141 @hugodejonge @MinPres Alsjeblieft, graag gedaan",False,CDA,True
pina2345,,341,584,29094,2020-10-07 19:22:25,[],@hugodejonge,"@hugodejonge @jankluytmans @AmphiaZKHuis De besmettingen gaan niet snel genoeg Hugo? je hebt wel testen aangekocht,maar over een medicijn hoor ik je niet! Je bent een schande en misdadiger.",True,CDA,True
Moltom17,"Den Haag, Nederland",72,2,224,2020-10-07 19:22:21,[],@hugodejonge,@hugodejonge @jankluytmans @AmphiaZKHuis Dit is het echt goede concrete nieuws in tijden! Ga zo door Hugo👍,False,CDA,True
claudiobarra2,,1115,374,24638,2020-10-07 19:22:09,"[{'text': 'WHO', 'indices': [46, 50]}]",@hugodejonge,"De aap komt uit de mouw!De #WHO heeft het mortaliteitscijfer bijgesteld naar.... 0,13Vergelijkbaar met een griep dusJullie vallen compleet door de mand! @MinPres @Jinek_RTL @hugodejonge @NOS @ferdgrapperhaus @telegraaf@NUnl#mondkappennou @jackvangelder @dannydemunktwit https://t.co/FTSYKo1DIG",True,CDA,True
jackieketarn,Netherlands,2447,2346,4991,2020-10-07 19:22:03,[],@hugodejonge,"@hugodejonge @jankluytmans @AmphiaZKHuis De besmettingen gaan niet snel genoeg Hugo? je hebt wel testen aangekocht,maar over een medicijn hoor ik je niet! Je bent een schande en misdadiger.",False,CDA,True
oysterley,Panama,461,333,4408,2020-10-07 19:21:24,"[{'text': 'WHO', 'indices': [46, 50]}]",@hugodejonge,"De aap komt uit de mouw!De #WHO heeft het mortaliteitscijfer bijgesteld naar.... 0,13Vergelijkbaar met een griep dusJullie vallen compleet door de mand! @MinPres @Jinek_RTL @hugodejonge @NOS @ferdgrapperhaus @telegraaf@NUnl#mondkappennou @jackvangelder @dannydemunktwit https://t.co/FTSYKo1DIG",True,CDA,True
drent84970404,,106,12,1034,2020-10-07 19:20:36,"[{'text': 'intelligente', 'indices': [29, 42]}]",@hugodejonge,@MerlotVine @lewinskylou2 De #intelligente lockdown van @MinPres en @hugodejonge .,False,CDA,True
annafmvandevel1,,113,282,26904,2020-10-07 19:20:20,"[{'text': 'WHO', 'indices': [46, 50]}]",@hugodejonge,"De aap komt uit de mouw!De #WHO heeft het mortaliteitscijfer bijgesteld naar.... 0,13Vergelijkbaar met een griep dusJullie vallen compleet door de mand! @MinPres @Jinek_RTL @hugodejonge @NOS @ferdgrapperhaus @telegraaf@NUnl#mondkappennou @jackvangelder @dannydemunktwit https://t.co/FTSYKo1DIG",True,CDA,True
art_andromeda,The Netherlands,1085,1071,15529,2020-10-07 19:19:54,[],@hugodejonge,@mariannezw @hugodejonge Staan een aantal ziekenhuizen leeg. Zorg voor een continue IC ready back up..Nu 40k bedden. Way to go... https://t.co/8ufpM2SGzL,True,CDA,True
TerryLenka,Nederland,726,479,11656,2020-10-07 19:19:44,[],@hugodejonge,@IkNet Gisteren in de 1e Kamer ook al zo’n foto-op “Kijk-mij-een-mondkapje-op-hebben”-moment van @hugodejonge 7 1/2 maand niets en nu wel? Lachwekkend.,True,CDA,True
Omakoe2,,3172,2484,46136,2020-10-07 19:18:50,[],@hugodejonge,@hugodejonge @jankluytmans @AmphiaZKHuis Al met al is het een zootje. Te laatCijfers kloppen nietTest niet betrouwbaar Test niet leverbaarGGD kan drukte niet aanMedicijnen niet leverbaarRIVM kan niet omgaan met statistieken Interpretatie van cijfers onjuistConclusie: meneer de Jonge en mp Rutte neem ontslag,True,CDA,True
VPugnans,,90,232,7777,2020-10-07 19:18:47,[],@hugodejonge,"@hugodejonge @jankluytmans @AmphiaZKHuis Eerst ons DNA En nu wil je de genen weten.. Weet je wat je kunt clown..Sterfte cijfer is LAGER dan die van de griep. Weet niet of alle ""medici"" hun eed vergeten zijn. Jouw opdrachten naleven zijn misdaden. Hoop dat je snel berecht wordt moordenaar",True,CDA,True
Omakoe2,,3172,2484,46136,2020-10-07 19:18:24,[],@hugodejonge,@hugodejonge @jankluytmans @AmphiaZKHuis Stemmen vóór de SPOEDWET is een stem TÉGEN het volk. Bedenk dat het vóór stemmen u straks een plaats in een penetiaire inrichting opleverd. Trials are coming worldwide:https://t.co/Krrl2axEeo@vvd @groenlinks @PvdA @cdavandaag @D66 @DenkNL@jesseklaver @RobJetten,True,CDA,True
Omakoe2,,3172,2484,46136,2020-10-07 19:18:19,[],@hugodejonge,@Dutch_Lion1 @hugodejonge @jankluytmans @AmphiaZKHuis Medici schijnen gewoon doorbetaald te zijn?Ondanks afgezegde behandelingen?,True,CDA,True
Omakoe2,,3172,2484,46136,2020-10-07 19:18:14,[],@hugodejonge,"@hugodejonge @jankluytmans @AmphiaZKHuis Eerst ons DNA En nu wil je de genen weten.. Weet je wat je kunt clown..Sterfte cijfer is LAGER dan die van de griep. Weet niet of alle ""medici"" hun eed vergeten zijn. Jouw opdrachten naleven zijn misdaden. Hoop dat je snel berecht wordt moordenaar",True,CDA,True
