username,location,following,followers,totaltweets,tweetcreatedts,hashtags,query,text,retweet,party,targeted
albert_hooning,,29,0,27,2020-10-07 21:57:06,[],@groenlinks,"@BasEickhout @groenlinks Bas, ..''Als dan toch de Klimaat-Wet wordt aangescherpt, ..dan moet er ook gelijk een goed plan klaar liggen om DE AARDE AF-TE-KOELEN'', ..MET MIJN OPGESTELDE PLAN om 7 Miljoen hectare bos per jaar aan_te_planten, moet dat lukken om de CO2 uitstoot met deze aanplant te reduceren.",False,GL,False
Ruvaniek,,128,19,1286,2020-10-07 21:52:40,"[{'text': 'COVID19NL', 'indices': [177, 187]}, {'text': 'COVIDー19', 'indices': [188, 197]}, {'text': 'corona', 'indices': [198, 205]}, {'text': 'coronawet', 'indices': [206, 216]}, {'text': 'coronadebat', 'indices': [219, 231]}, {'text': 'coronavirus', 'indices': [232, 244]}, {'text': 'WhyAreTheyDoingThis', 'indices': [245, 265]}]",@groenlinks,@VVD @fvdemocratie @geertwilderspvv @cdavandaag @D66 @christenunie @groenlinks @PvdA @DenkNL @HenkKrol @WybrenvanHaga @MarijnissenL Zo kan het dus ook:https://t.co/ia9BU4EcYW#COVID19NL #COVIDー19 #corona #coronawet ? #coronadebat #coronavirus #WhyAreTheyDoingThis,False,GL,False
HomePiggy,,1424,1350,46887,2020-10-07 21:52:31,[],@groenlinks,"@TimmermansEU @diederiksamsom @Groenlinks @D66 Vraag eens aan Aboriginals, brandweermannen bijv in Australië. Gecontroleerde branden op z'n tijd, wel of juist geen bosbeheer, geen overmatige bomenkap, https://t.co/h6dpWh4c5i",False,GL,False
VerbaanSanne,,24,16,1550,2020-10-07 21:51:16,[],@groenlinks,"@Marijn_Prins @jesseklaver @groenlinks Lieve Marijn, We hebben geen ruimte om onze en toekomstige vraag te voldoen met wind en zon. En dan nog hebben we een derde alternatief nodig als het niet waait. Als gas, kolen en nucleair is uitgesloten dan blijft biomassa over.   En die heeft geen instant aan/uit knop. Sorry😐",False,GL,False
NolvanGerven,"Rotterdam, The Netherlands",909,695,5026,2020-10-07 21:48:38,[],@groenlinks,"@BosmanGerard @groenlinks Ziet eruit als een vrij nietszeggende motie. Overigens dacht ik dat er een afspraak was dat de PvdA principieel tegen alle moties van de PVV zou stemmen, ongeacht de inhoud?",False,GL,False
marliesdegr,,90,183,403,2020-10-07 21:47:26,"[{'text': 'stikstofwet', 'indices': [57, 69]}]",@groenlinks,Heel benieuwd naar de uitwerking van de #stikstofwet die @groenlinks @BouwendNL @MKBNL een duurzame boeren samen hebben ontwikkeld. Op hoofdlijnen ziet het er al veel beter uit dat de poging van het kabinet om de #stikstofproblemen aan te pakken. https://t.co/fFyzWAW2n4,True,GL,False
Lampladies,The Netherlands,585,550,6498,2020-10-07 21:44:22,[],@groenlinks,"En de hele linkse @groenlinks meute is muisstil en blijft gewoon zitten.En oh ja, corrupt genoemd worden, vinden we een belediging!https://t.co/ZT1N1PVni2",True,GL,False
RickJG21,🤡🌎,303,98,1300,2020-10-07 21:43:22,[],@groenlinks,@VizierOpLinks @groenlinks @maxederijk @Mirjam_de_Rijk @EWdeVlieger Datzelfde tuig lacht die deuggleuven keihard uit.,False,GL,False
JanBolluijt,,2390,660,27453,2020-10-07 21:42:54,[],@groenlinks,@BosmanGerard @groenlinks Zitten snurken?,False,GL,False
DoornGijs,,460,254,66039,2020-10-07 21:42:40,[],@groenlinks,De motie Wilders over met spoed zorgen voor meer zorgpersoneel is afgewezen dankzij @groenlinks Dus als u in maart 2021 gaat stemmen denkt u dan hieraan.,True,GL,False
