username,location,following,followers,totaltweets,tweetcreatedts,hashtags,query,text,retweet,party,targeted
Trolsen_,,524,212,15346,2020-10-02 15:53:21,"[{'text': 'rentevrij', 'indices': [47, 57]}]",@F_azarkan,Het is nog altijd niet mogelijk om #rentevrij te bankieren. En dat terwijl velen dit wel willen; vanuit principes of geloofsovertuiging. Een eigen woning bezitten is belangrijk. @F_azarkan laat de Kamer weten hier werk van te gaan maken. https://t.co/fWFFPR47tC,True,DENK,True
gertjanbrok,Rhoon,309,50,468,2020-10-02 15:49:13,[],@F_azarkan,@DenkNL @F_azarkan Hier maken we nou eenmaal graag winst om daar bijkomende kosten van te kunnen betalen.,False,DENK,True
raheelmsf,,207,12,57,2020-10-02 15:38:17,[],@F_azarkan,@dwarsdenker314 @DenkNL @F_azarkan Leg uit. Wat is idioterie hieraan? Graag een goede onderbouwing.,False,DENK,True
uefa28,"Amsterdam, Nederland",2119,159,1629,2020-10-02 15:29:12,[],@F_azarkan,@DenkNL @F_azarkan Ein-de-lijk 👍👌✌️🙏❤️,False,DENK,True
Blanter23,Oss,427,345,16666,2020-10-02 15:26:00,[],@F_azarkan,@DenkNL @F_azarkan Op naar de Sharia 🤪,False,DENK,True
dwarsdenker314,,35,19,2679,2020-10-02 15:22:48,[],@F_azarkan,@DenkNL @F_azarkan Wie wil mij geld lenen zonder dat ik daar een vergoeding voor betaal?,False,DENK,True
VanRossum18,,25,6,2415,2020-10-02 15:21:42,[],@F_azarkan,"@DenkNL @F_azarkan De rente is 0 dus nu moet het kunnen. En sommigen hebben natuurlijk wel een huis, alleen niet hier.",False,DENK,True
dwarsdenker314,,35,19,2679,2020-10-02 15:21:12,[],@F_azarkan,@DenkNL @F_azarkan Waarom zou overigens de overheid dit moeten doen. Kennelijk ziet de markt er niets in.,False,DENK,True
HarrieVermeer,"Tilburg, Nederland",342,284,10318,2020-10-02 15:20:54,"[{'text': 'hypocriet', 'indices': [119, 129]}]",@F_azarkan,@DenkNL @F_azarkan Gratis geld lenen? Of een vergoeding in andere vorm? Het eerste gaat niet gebeuren en het tweede is #hypocriet.,False,DENK,True
dwarsdenker314,,35,19,2679,2020-10-02 15:20:12,[],@F_azarkan,"@mr_molla23 @DenkNL @F_azarkan Betekent dit ook dat word afgezien van rentevergoeding op spaartegoeden? Gelukkige is de rente bijna nul, dat helpt. 😂",False,DENK,True
dwarsdenker314,,35,19,2679,2020-10-02 15:19:06,[],@F_azarkan,@DenkNL @F_azarkan Dit toont de totale idioterie van verouderde religieuze regels. Iedere financier zal een vergoeding vragen. En terecht. Je kant het rente noemen of iets anders. Maar het principe blijft. Achterlijke schijnheiligheid.,False,DENK,True
Korkmaz2515,Hollanda/Nederland/Lelystad,345,140,2500,2020-10-02 15:12:36,"[{'text': 'rentevrij', 'indices': [47, 57]}]",@F_azarkan,Het is nog altijd niet mogelijk om #rentevrij te bankieren. En dat terwijl velen dit wel willen; vanuit principes of geloofsovertuiging. Een eigen woning bezitten is belangrijk. @F_azarkan laat de Kamer weten hier werk van te gaan maken. https://t.co/fWFFPR47tC,True,DENK,True
EyubEnsari,"Rotterdam, Nederland",492,51,249,2020-10-02 15:09:50,"[{'text': 'rentevrij', 'indices': [47, 57]}]",@F_azarkan,Het is nog altijd niet mogelijk om #rentevrij te bankieren. En dat terwijl velen dit wel willen; vanuit principes of geloofsovertuiging. Een eigen woning bezitten is belangrijk. @F_azarkan laat de Kamer weten hier werk van te gaan maken. https://t.co/fWFFPR47tC,True,DENK,True
e_ligt,,215,213,5901,2020-10-02 15:09:46,[],@F_azarkan,@Denk_Amsterdam @F_azarkan Als je ze opbrandt is er ook niemand meer die je stoort.,False,DENK,True
DENKDenHaag,"Den Haag, Nederland",283,172,74,2020-10-02 15:08:03,"[{'text': 'rentevrij', 'indices': [47, 57]}]",@F_azarkan,Het is nog altijd niet mogelijk om #rentevrij te bankieren. En dat terwijl velen dit wel willen; vanuit principes of geloofsovertuiging. Een eigen woning bezitten is belangrijk. @F_azarkan laat de Kamer weten hier werk van te gaan maken. https://t.co/fWFFPR47tC,True,DENK,True
AbdoelHary,,74,230,2607,2020-10-02 15:07:43,"[{'text': 'rentevrij', 'indices': [47, 57]}]",@F_azarkan,Het is nog altijd niet mogelijk om #rentevrij te bankieren. En dat terwijl velen dit wel willen; vanuit principes of geloofsovertuiging. Een eigen woning bezitten is belangrijk. @F_azarkan laat de Kamer weten hier werk van te gaan maken. https://t.co/fWFFPR47tC,True,DENK,True
DenkNL,Nederland,212,14822,2329,2020-10-02 15:07:14,"[{'text': 'rentevrij', 'indices': [35, 45]}]",@F_azarkan,Het is nog altijd niet mogelijk om #rentevrij te bankieren. En dat terwijl velen dit wel willen; vanuit principes of geloofsovertuiging. Een eigen woning bezitten is belangrijk. @F_azarkan laat de Kamer weten hier werk van te gaan maken. https://t.co/fWFFPR47tC,False,DENK,True
