username,location,following,followers,totaltweets,tweetcreatedts,hashtags,query,text,retweet,party,targeted
EKnuyt,"Holland, The Netherlands",594,444,22858,2020-10-07 07:46:00,[],@PvdA,"@NancyGroningen @christenunie @gertjansegers @LodewijkA @PvdA Maak het OV juist ""aantrekkelijk""!Zorg v goede snelle verbindingen !Ik ging, in de randstad, met de auto naar m'n werk, omdat: 2 keer overstappen op ""40 km"" en bij vertraging een half uur extra reistijd. Reisduur met trein ""op 40 km"" 1,5 uur. Met auto 30 minuten.",False,PVDA,False
Job1970,"Nederland, Brabant",489,338,17444,2020-10-07 07:45:35,[],@PvdA,Waarom zou je hier tegen stemmen? @vvd @cdavandaag @d66 @pvda e.a. https://t.co/krmdPzPPNk,False,PVDA,False
KirstenW1306,,524,247,140,2020-10-07 07:45:23,[],@PvdA,👨‍🏫 Aanpakken lerarentekort. 👶 Vanaf 0 jaar samen naar de voorschool. 💰 Basisbeurs voor iedereen. 👩‍🍳 Mbo wordt gratis tot 18 jaar. Lees hier meer over onze onderwijsplannen. 👇https://t.co/c2okzOkWZV,True,PVDA,False
Veldhorst__W,,1546,3886,272918,2020-10-07 07:44:29,"[{'text': 'COVID', 'indices': [211, 217]}]",@PvdA,"@NancyGroningen @EKnuyt @christenunie @gertjansegers @LodewijkA @PvdA Nee, maar het is wel héél dom om definitieve maatregelen door te voeren voor een tijdelijke situatie. Over een paar jaar is de bus weg, maar #COVID ook. Die buslijnen komen niet meer terug, dat is een ding dat zeker is.",False,PVDA,False
EwoudKieviet,Rotterdam,1344,2244,7441,2020-10-07 07:42:02,[],@PvdA,Krijgen we in Nederland ook een 'early voting'? @D66 en @PvdA willen dat minister Ollongren onderzoekt of in sommige gemeenten stembureaus volgend jaar al 2 weken voor de verkiezingen open kunnen. Om drukte te vermijden en om mensen veilig te laten stemmen tijdens de coronacrisis https://t.co/CxYbOOSScJ,True,PVDA,False
MichelGulicher,Amstelveen,158,68,3532,2020-10-07 07:41:45,[],@PvdA,"Het is een schande dat debepalers bij @cz_nl en @VGZ @zilverenkruis dit zonder blozen op papier weten te zetten. @JobaCDA @MaartenHijink @CorinneEllemeet @MarijnissenL @PvdA, volgens mij is de boodschap nog steeds niet aangekomen. Dit moet echt anders in de programma's voor 2020.",True,PVDA,False
MichelGulicher,Amstelveen,158,68,3532,2020-10-07 07:41:26,[],@PvdA,@VVD @cdavandaag @D66 @christenunie @FleurAgemaPVV @PvdA @groenlinks @SPnl zijn jullie je ervan bewust dat de zorgverzekeraars de eerstelijns zorg aan het kapotmaken zijn?,True,PVDA,False
Rubensmit,"Rotterdam, the Netherlands",1402,685,5902,2020-10-07 07:39:57,"[{'text': 'APB2020', 'indices': [61, 69]}]",@PvdA,Dromen over anderen helpen... @LodewijkA tijdens #APB2020 over waar de échte kracht van onze samenleving zit👇 https://t.co/B55HM4PwrV,True,PVDA,False
GeertJeelof,Netherlands,936,1390,79699,2020-10-07 07:37:29,[],@PvdA,"@NPORadio1 @D66 @PvdA De partij D66 die de democratie met het referendum afschafte, wil kennelijk meer tijd hebben om ook de komende verkiezingen te manipuleren.",False,PVDA,False
DIRKVDPLAS,,821,455,33191,2020-10-07 07:37:22,[],@PvdA,@MvRooijen @hugodejonge @PvdA @LodewijkA   met hun noodwet-wens heel veel Chinees geworden,False,PVDA,False
Rubensmit,"Rotterdam, the Netherlands",1402,685,5902,2020-10-07 07:36:54,"[{'text': 'nabestaanden', 'indices': [123, 136]}, {'text': 'slachtoffer', 'indices': [144, 156]}, {'text': 'Sensatiezoekers', 'indices': [163, 179]}]",@PvdA,"Filmpjes slachtoffers delen moet strafbaar worden, vinden CDA, GL en ⁦@PvdA⁩  100% Eens, onwijs traumatische ervaring voor #nabestaanden of het #slachtoffer zelf. #Sensatiezoekers hebben niks te zoeken bij een ongeval of misdrijf. https://t.co/JATbL3mojh",False,PVDA,False
NancyGroningen,Groningen,3451,5504,167899,2020-10-07 07:36:16,[],@PvdA,@EKnuyt @christenunie @gertjansegers @LodewijkA @PvdA Met nog niet de helft van passagiersaantallen kun je geen 100% dienstregeling overeind houden lijkt mij.,False,PVDA,False
migrant_nl,,42,3,884,2020-10-07 07:35:54,"[{'text': 'hijab', 'indices': [61, 67]}]",@PvdA,@GrauweGrutjes @F_azarkan @PvdA @PartijvdDieren @SPnl Gewoon #hijab met een groot mondkapje. Heb je eigenlijk bijna zelfde resultaat en het mag! In zeg doen!,False,PVDA,False
EKnuyt,"Holland, The Netherlands",594,444,22858,2020-10-07 07:34:47,"[{'text': 'klimaat', 'indices': [79, 87]}, {'text': 'milieu', 'indices': [89, 96]}, {'text': 'stikstof', 'indices': [103, 112]}, {'text': 'ouderen', 'indices': [132, 140]}, {'text': 'gehandicapten', 'indices': [142, 156]}]",@PvdA,"Gaat ""Groene"" kabinet het Openbaar Vervoer verder afbreken ?Slecht plan v het #klimaat, #milieu (meer #stikstof !), lage inkomens, #ouderen, #gehandicaptenNiet doen @christenunie, @gertjansegers !Benieuwd of @LodewijkA @PvdA dat zomaar uit gaat voerenhttps://t.co/S8NtS9dXcN",False,PVDA,False
myriam_der,Windroos,499,535,23570,2020-10-07 07:33:40,[],@PvdA,"Oproep speciaal aan @groenlinks @PvdA en @sgpbsv ! Vandaag en morgen debatteren jullie in de tweede kamer over de ""Noodwet""! Jullie voornemens zijn om voor die wet te stemmen! Wij roepen jullie op TEGEN die wet te stemmen! Of, willen jullie van Nederland een dictatuur maken? https://t.co/ozNzLyj18L",True,PVDA,False
myriam_der,Windroos,499,535,23570,2020-10-07 07:33:37,[],@PvdA,@l_adriaans @groenlinks @PvdA @sgpbsv Stemmen vóór de SPOEDWET is een stem TÉGEN het volk. Bedenk dat het vóór stemmen u straks een plaats in een penetiaire inrichting opleverd. Trials are coming worldwide:https://t.co/Krrl2axEeo@vvd @groenlinks @PvdA @cdavandaag @D66 @DenkNL@jesseklaver @RobJetten,False,PVDA,False
EvaKnoet,Netherlands,818,314,7867,2020-10-07 07:31:22,[],@PvdA,"Is het niet praktischer, veiliger en minder arbeidsintensief om via de post te laten stemmen, @D66 @PvdA?D66 en PvdA: stembureaus twee weken eerder open voor verkiezingen - https://t.co/oczPmJZInr",False,PVDA,False
Hansibar1970,Terschelling,375,370,29736,2020-10-07 07:30:29,[],@PvdA,"Oproep speciaal aan @groenlinks @PvdA en @sgpbsv ! Vandaag en morgen debatteren jullie in de tweede kamer over de ""Noodwet""! Jullie voornemens zijn om voor die wet te stemmen! Wij roepen jullie op TEGEN die wet te stemmen! Of, willen jullie van Nederland een dictatuur maken? https://t.co/ozNzLyj18L",True,PVDA,False
